,,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
tag,cfg,,,,,,,,,,,,,,
v2.0.0,AI,-4.318474725274725,-16.620508791208792,-18.849936263736264,-5.775147252747253,-4.321210989010989,-4.624938461538461,-5.2544571428571425,-5.179678021978022,-4.668645054945055,-9.406575824175823,-4.296828571428571,-16.629631868131867,-18.810642857142856,-5.205257142857143
v2.0.0,AS,-2.861925,-8.7768625,-8.995862500000001,-3.578475,-2.568225,-2.8171625000000002,-2.2037875000000002,-2.3041375,-3.1276,-5.5004375,-2.8773,-8.7836625,-9.141125,-3.526875
v2.0.0,LD,-1.783894642857143,-10.724725000000001,-11.0054,-2.6455142857142855,-2.170225,-2.263744642857143,-2.254073214285714,-2.1492642857142856,-1.7285732142857142,-4.314666071428571,-1.862355357142857,-10.689055357142857,-10.826282142857142,-2.5171214285714285
v2.0.0,RA,-2.971540659340659,-9.882387912087912,-11.612115384615386,-3.7986538461538464,-2.8109571428571427,-3.1726450549450544,-2.813968131868132,-2.6236604395604393,-2.89572967032967,-5.398325274725274,-3.1624626373626374,-9.765250549450549,-11.228131868131868,-3.4036901098901096
v2.0.0,Still,-2.817208771929825,-12.455756140350879,-15.42590701754386,-3.9986105263157894,-3.251359649122807,-3.1683877192982455,-3.5311508771929825,-3.6058315789473685,-3.9585666666666666,-5.915001754385965,-2.817208771929825,-12.455756140350879,-15.42590701754386,-3.278654385964912
v3.0.0,AI,-7.523592307692307,-19.20289010989011,-22.192128571428572,-8.954147252747253,-6.828404395604396,-7.302535164835165,-7.7185978021978014,-7.529079120879121,-7.337176923076923,-12.640457142857143,-7.513916483516483,-19.18605714285714,-22.14782307692308,-8.356725274725274
v3.0.0,AS,-12.3428625,-14.73105,-16.6355625,-12.726075,-10.0233625,-11.3174125,-15.2303,-14.61875,-11.635275,-13.9851875,-12.3673125,-14.703575,-16.7515875,-12.772287500000001
v3.0.0,LD,-6.518314285714285,-15.806169642857142,-15.259046428571429,-7.373253571428571,-6.4566517857142856,-6.5621535714285715,-7.4854482142857135,-6.997942857142857,-5.881657142857143,-9.256866071428572,-6.590371428571428,-16.066598214285715,-15.1862375,-7.233512500000001
v3.0.0,RA,-10.841051648351648,-16.18310989010989,-16.733113186813185,-11.431017582417583,-10.116626373626373,-10.562937362637363,-14.691564835164835,-13.789246153846154,-10.082651648351648,-12.479086813186813,-10.98657912087912,-16.274053846153848,-16.628165934065933,-11.338115384615383
v3.0.0,Still,-4.666947368421053,-14.302077192982456,-17.309794736842107,-5.857873684210526,-4.501598245614034,-4.7294210526315785,-4.761310526315789,-4.670114035087719,-5.41709298245614,-7.600733333333333,-4.666947368421053,-14.302077192982456,-17.309794736842107,-5.075729824561403
v4.0.0,AI,-11.377768131868132,-26.36483186813187,-30.039354945054942,-13.237773626373627,-10.499548351648352,-11.195328571428572,-11.781516483516484,-11.424489010989012,-11.336172527472527,-17.757316483516483,-11.371592307692309,-26.38859010989011,-30.013582417582416,-12.684348351648351
v4.0.0,AS,-19.10925,-26.6148125,-28.556675,-20.062375,-15.756237500000001,-18.1516125,-23.940375,-23.0137875,-18.35565,-22.88155,-19.0659625,-26.6270625,-28.661925,-20.107625
v4.0.0,LD,-13.965591071428571,-27.819839285714288,-27.552826785714284,-15.306848214285713,-13.809994642857143,-13.999453571428571,-15.553117857142857,-14.91060892857143,-13.359789285714285,-18.259023214285715,-14.083480357142857,-28.01545357142857,-27.44942857142857,-15.107867857142859
v4.0.0,RA,-17.53204945054945,-27.777653846153846,-28.753216483516482,-18.67721978021978,-16.806793406593407,-17.40954065934066,-22.617038461538463,-21.4144010989011,-16.816649450549452,-21.12949010989011,-17.68578021978022,-27.898212087912086,-28.553271428571428,-18.463516483516486
v4.0.0,Still,-7.156673684210527,-20.216508771929824,-23.839143859649123,-8.772631578947369,-6.398454385964913,-7.2876315789473685,-6.943554385964912,-6.754717543859648,-8.044871929824561,-11.249029824561404,-7.156673684210527,-20.216508771929824,-23.839143859649123,-7.943863157894737
v7.0.0,AI,-16.087147252747254,-36.15709230769231,-37.16427802197803,-18.441524175824174,-15.0251010989011,-15.727453846153846,-17.473618681318683,-17.10453846153846,-16.60103186813187,-25.079045054945055,-16.069357142857143,-36.18516813186813,-37.142164835164834,-17.844773626373627
v7.0.0,AS,-25.4281875,-36.4915375,-36.2913875,-26.72065,-21.349825,-24.0248625,-30.591075,-29.7040625,-24.383074999999998,-30.7619125,-25.3700625,-36.5066625,-36.4171625,-26.7601375
v7.0.0,LD,-19.54510892857143,-39.29809107142857,-38.092705357142854,-21.513505357142858,-19.391853571428573,-19.468775,-21.78709464285714,-21.221444642857143,-19.731325,-27.38184107142857,-19.640041071428573,-39.51240178571429,-37.882975,-21.09687142857143
v7.0.0,RA,-23.50995164835165,-40.931054945054946,-40.52835494505494,-25.38796153846154,-22.85142747252747,-23.358784615384614,-28.583935164835164,-27.606452747252746,-23.379443956043954,-30.76530989010989,-23.579071428571428,-41.09454615384615,-40.40268681318681,-24.85134065934066
v7.0.0,Still,-9.242971929824563,-25.918863157894737,-29.43050701754386,-11.313263157894736,-8.861145614035088,-9.68512807017544,-9.943038596491228,-9.783322807017544,-10.822208771929825,-14.81858947368421,-9.242971929824563,-25.918863157894737,-29.43050701754386,-10.459949122807016
